page,line_no,text
1,1,"32065 CASTLE COURT SUITE 300, EVERGREEN, CO 80439"
1,2,Phone: 303-670-7993Fax: 303-670-8067MERGED INFILE CREDIT REPORT
1,3,Reporting Bureau certifies compliance contractual requirements
1,4,governing check of public records with these results.
1,5,Public Records Found For:  Applicant  Spouse
1,6,FILE # 2747819 FNMA # DATE COMPLETED 3/26/2015 RQD' BY HAPPY DAZE
1,7,SEND TO Evergreen Credit A - 1101099 DATE ORDERED 3/19/2015
1,8,32065 CASTLE COURT REPOSITORIES XP/TU/EF PRPD' BY
1,9,"EVERGREEN, CO 80439 PRICE LOAN TYPE"
1,10,REF. #
1,11,PROPERTY ADDRESS
1,12,APPLICANT CO-APPLICANT
1,13,"APPLICANT TESTCASE, CARLOS CO-APPLICANT"
1,14,SOC SEC # 000-00-0001 DOB SOC SEC # DOB
1,15,MARITAL STATUS DEPENDENTS
1,16,"CURRENT ADDRESS 9614 ORIOLE, ANTHILL, MO 65488 LENGTH"
1,17,PREVIOUS ADDRESS LENGTH
1,18,SCORE MODELS
1,19,EQUIFAX/FICO CLASSIC V5 FACTA - MARISOL LEMUS TESTCASE - 000000001
1,20,SCORE: 743
1,21,00030 - TIME SINCE MOST RECENT ACCOUNT OPENING IS TOO SHORT00014 - LENGTH OF TIME ACCOUNTS HAVE BEEN ESTABLISHED00008 - TOO MANY INQUIRIES LAST 12 MONTHS00012 - LENGTH OF TIME REVOLVING ACCOUNTS HAVE BEEN ESTABLISHED
1,22,TRANSUNION/FICO CLASSIC (98) - MARISOL L TESTCASE - 000000001
1,23,SCORE: 741
1,24,014 - LENGTH OF TIME ACCOUNTS HAVE BEEN ESTABLISHED012 - LENGTH OF TIME REVOLVING ACCOUNTS HAVE BEEN ESTABLISHED008 - TOO MANY INQUIRIES LAST 12 MONTHS030 - TIME SINCE MOST RECENT ACCOUNT OPENING IS TOO SHORTFA - INQUIRIES IMPACTED THE CREDIT SCORE
1,25,"EXPERIAN/FAIR, ISAAC (VER. 2) - MARISOL TESTCASE - 000000001"
1,26,SCORE: 745
